iter	Passed	Remaining
0	1	157
1	2	123
2	3	119
3	4	115
4	5	107
5	6	100
6	7	98
7	8	95
8	9	94
9	10	93
10	11	92
11	12	93
12	13	92
13	14	87
14	14	84
15	15	81
16	16	78
17	16	75
18	17	73
19	17	70
20	18	69
21	18	66
22	19	65
23	20	64
24	21	63
25	21	61
26	22	60
27	23	59
28	23	57
29	24	56
30	24	55
31	25	54
32	26	53
33	26	52
34	27	51
35	28	50
36	28	49
37	29	48
38	30	47
39	30	46
40	31	45
41	31	43
42	32	42
43	32	41
44	33	41
45	34	40
46	35	39
47	36	39
48	36	38
49	37	37
50	38	36
51	38	35
52	39	34
53	39	33
54	40	33
55	40	32
56	41	31
57	42	30
58	43	29
59	43	29
60	44	28
61	45	27
62	45	26
63	46	26
64	47	25
65	47	24
66	48	23
67	48	23
68	49	22
69	50	21
70	50	20
71	51	20
72	52	19
73	53	18
74	53	17
75	54	17
76	55	16
77	56	15
78	56	15
79	57	14
80	57	13
81	58	12
82	59	12
83	59	11
84	60	10
85	61	9
86	61	9
87	62	8
88	63	7
89	63	7
90	64	6
91	65	5
92	65	4
93	66	4
94	67	3
95	67	2
96	68	2
97	69	1
98	69	0
99	70	0
